id,name,type,region,province,city,address,postal_code,phone,email,appointment_method,appointment_url,source_url,official_list_url,source_date,verified_at,verification_status,notes
creade-pozuelo,CREADE Pozuelo de Alarcón,creade,Comunidad de Madrid,Madrid,Pozuelo de Alarcón,"Paseo de la Casa de Campo, 1",28223,+34666800194;+34913990009,,phone,,https://ucraniaurgente.inclusion.gob.es/proteccion-temporal1,,2026,2026-09-15,verified,
creade-barcelona,CREADE Barcelona,creade,Cataluña,Barcelona,Barcelona,"Calle de Sant Fructuós, 78-80",08004,+34932382199;+34913990009,,phone,,https://ucraniaurgente.inclusion.gob.es/proteccion-temporal1,,2026,2026-09-15,verified,
creade-torrevieja,CREADE Alicante (Torrevieja),creade,Comunitat Valenciana,Alicante,Torrevieja,"Calle Urbano Arregui, 8",03185,+34913990009,,phone,,https://ucraniaurgente.inclusion.gob.es/proteccion-temporal1,,2026,2026-09-15,verified,Local phone not listed on source page; general line only.
creade-malaga,CREADE Málaga,creade,Andalucía,Málaga,Málaga,"Avenida del Pintor Joaquín Sorolla, 145",29017,+34628216478;+34913990009,,phone,,https://ucraniaurgente.inclusion.gob.es/w/tramites-proteccion-temporal-desplazados-ucrania ; https://ucraniaurgente.seg-social.es/w/tramites-proteccion-temporal-desplazados-ucrania,,2026,2026-09-15,conflict,"ADDRESS CONFLICT: inclusion.gob.es shows Av. Pintor Joaquín Sorolla 145, 29017; mirror seg-social.es shows Av. José Ortega y Gasset 20, 29006. Confirm by phone before publishing."
comisaria-algeciras,Comisaría Policía Nacional — Algeciras,police_station,Andalucía,Cádiz,Algeciras,,,+34956588424,algeciras.ucrif3@policia.es,phone_or_email,,https://ucraniaurgente.inclusion.gob.es/listado-de-comisarias,https://ucraniaurgente.inclusion.gob.es/listado-de-comisarias,2026-09-18,2026-09-18,verified,
comisaria-cadiz,Comisaría Policía Nacional — Cádiz,police_station,Andalucía,Cádiz,Cádiz,,,+34956297560,cadiz.asilo@policia.es,phone_or_email,,https://ucraniaurgente.inclusion.gob.es/listado-de-comisarias,https://ucraniaurgente.inclusion.gob.es/listado-de-comisarias,2026-09-18,2026-09-18,verified,
comisaria-cordoba,Comisaría Policía Nacional — Córdoba,police_station,Andalucía,Córdoba,Córdoba,,,+34957594725,,phone,,https://ucraniaurgente.inclusion.gob.es/listado-de-comisarias,https://ucraniaurgente.inclusion.gob.es/listado-de-comisarias,2026-09-18,2026-09-18,verified,
comisaria-huelva,Comisaría Policía Nacional — Huelva,police_station,Andalucía,Huelva,Huelva,,,+34959541922,huelva.asilos@policia.es,phone_or_email,,https://ucraniaurgente.inclusion.gob.es/listado-de-comisarias,https://ucraniaurgente.inclusion.gob.es/listado-de-comisarias,2026-09-18,2026-09-18,verified,
comisaria-sevilla,Comisaría Policía Nacional — Sevilla,police_station,Andalucía,Sevilla,Sevilla,,,,,icp_online,https://sede.administracionespublicas.gob.es/pagina/index/directorio/icpplus,https://ucraniaurgente.inclusion.gob.es/listado-de-comisarias,https://ucraniaurgente.inclusion.gob.es/listado-de-comisarias,2026-09-18,2026-09-18,verified,
comisaria-almeria,Comisaría Policía Nacional — Almería,police_station,Andalucía,Almería,Almería,,,+34950623105,almeria.bdep@policia.es,phone_or_email,,https://ucraniaurgente.inclusion.gob.es/listado-de-comisarias,https://ucraniaurgente.inclusion.gob.es/listado-de-comisarias,2026-09-18,2026-09-18,verified,
